,author_id,id,created_at,text
31,1179745089972789249,1250446638562390016,2020-04-15T15:31:25.000Z,"@SalihHudayar #China is irresponsible (selling faulty #WuhanVirus gear) , colonialist (#StopMekongDam), racist (#Uighurs, #AfricansinChina), totalitarian (#HongkongPoliceTerrorism, #TiananmenSquareMassacre), and dangerous (#Huawei #5G).
Why are our governments still kowtowing to them?
#FuckCCP"
32,3180412521,1245810258582228997,2020-04-02T20:28:06.000Z,"Fuck CCP to the moon. People are dying because of these fuckers. 
#ChinaLiedPeopleDie #CCPVirus #ChineseVirus"
33,1139505998601883648,1250070537277190145,2020-04-14T14:36:55.000Z,will she answers me? I'm curious to know how the Chinese Communist Party's magic recipe for saving people's lives #CCPVirus #China #ChinaLiedPeopleDied https://t.co/G0ePrwZcxG
34,255223525,1240389106674384896,2020-03-18T21:26:23.000Z,"@PerfidiousAlbn @MalcolmCameron7 The Chinese Communist Party is the biggest mass murdering outfit in history

They also deliberately held back knowledge on this virus and destroyed vital evidence that has now led us to where we are now"
35,1248910144320057344,1250281008856875010,2020-04-15T04:33:16.000Z,@anthonyharryjnr @OzraeliAvi Not China virus，it‘s CCP（Chinese Communist Party）virus.
36,1076547228167213056,1247675480683225088,2020-04-07T23:59:49.000Z,"The CCP has infected millions and crippled the economy. As payment for their crimes against humanity, countries should cancel all of their debt to China. They are trying to make the whole world communist like them. We can't let that happen. #MakeChinaPay #ChinaLiedPeopleDied"
37,1144298888490209280,1244829915872022529,2020-03-31T03:32:34.000Z,"@Dean_YUANS @BorisJohnson Hey Dick Head, 
ChingChaong,
WHY YOU CHINESE HIDE A TRUTH FROM US. WE KNOW THAT CHINESE VIRUS BELONGS TO CHINA.
YOU CHINKY LIL DICK BASTARDS EATING LIVE ANIMALS LIKE  DOGS AND CATS. KARMA HITS YOU FUCK. READY FOR THAT, USA, INDIA, UK, ITALY, IRAN WILL BOMB YOU, YOU DIED MOTHAFOKA"
38,420681992,1244460621317328896,2020-03-30T03:05:07.000Z,"Chinese government is now being exposed by its own people.

#ChinaLiedPeopleDied #WuhanVirus #ChineseBioterrorism #ChineseVirus #BoycottChina #CCPVirus #ChineseVirus19 #ChinaIsAsshole https://t.co/rStaYGXFKn"
39,701187460915601408,1241829625522601984,2020-03-22T20:50:29.000Z,"@realDonaldTrump Please don’t blame ‘China’ for the coronavirus, blame the CCP (Chinese Communist Party). Chinese people are enslaved by the CCP regime. Chinese people are also victims. The CCP is trying to divide us. Let’s call it CCP virus."
40,433455503,1240450872720719873,2020-03-19T01:31:49.000Z,"@CPHO_Canada Truth of CCP and it's bioweapon--Wuhan coronavirus : https://t.co/saVSeLzpFJ  
Chinese Communist Party suppressed initial reports on the Chinese Virus and punished doctors and journalists, causing  international experts to miss critical opportunities to prevent a global pandemic."
41,4875700154,1241929938862780417,2020-03-23T03:29:06.000Z,#fuckChina #ChinaLiedAndPeopleDied #ChinaLiedPeopleDied fuck China till the very end communist retards
42,1179711835563364352,1246216191502237697,2020-04-03T23:21:08.000Z,@nikki_miumiu @WHO CCP commit a genocide to the whole world by spreading the Chinese virus 🦠 #ChinaLiedPeopleDied
43,893891985509163009,1250184487759163397,2020-04-14T22:09:43.000Z,@charliekirk11 Bat shit crazy = China not telling us its dirty secret until we get infected. Smells like bat shit to me!
44,346614460,1223021374433824770,2020-01-30T23:13:12.000Z,"@ryannaalysha @apard23 @DanClarkSports Fruit bat, horseshoe bat, and a species of snake indigenous to China are the consensus sources.  All were traded and/or consumed at the Wuhan market. Get ur facts straight b4 throwing out the racism card lady"
45,1348189831,1247519371682963456,2020-04-07T13:39:30.000Z,"@charliekirk11 Only when CCP takes advantages of HK, they'll say HK is part of China. When there's anything bad, HK is HK. Never trust China. Fuck off CCP!🙄 #ChinaIsAsshoe #CCPVirus #ChinaLiedPeopleDied"
46,2724187070,1223216784318312453,2020-01-31T12:09:42.000Z,"China starting that walking dead virus like cats , dogs , bats , mice raw ..... hell no !"
47,1141334287683399680,1240291725895258112,2020-03-18T14:59:25.000Z,@NewYorker They first need to reconsider eating bats which reportedly are the source of the Wuhan virus.
0,1554468102,1231307130482769920,2020-02-22T19:57:51.000Z,so when's china getting kicked out of the u.n. for fucking up and loosing a bioweapon
1,1151470195493314560,1240901324268384256,2020-03-20T07:21:45.000Z,"#ChinaLiedPeopleDied, and WHO always adopt the fake news from China CCP. This led to the spread of #WuhanVirus across the world. 

What did WHO do to prevent the virus before? 
It said, not serious, take it easy, just believe China. 
It said, don't block the entry of China people https://t.co/kQ4DdIglnB"
2,1120666363830444037,1241424995546476545,2020-03-21T18:02:38.000Z,@haveaconcern The world should be isolating China for this #ChinaVirus they're gonna be responsible for the death of million's of people.
3,1172791621060108288,1249359929435013121,2020-04-12T15:33:13.000Z,"@OwenPaterson @MPIainDS Indeed the tyranny #CCP sacrificed the whole world by hiding the outbreak of #WuhanCoronavius, and selling unqualified masks and test kits to other countries!

International has to make #China accountable for it! Let’s boycott China’s product!

#ChinaLiedPeopleDied #BoycottChina https://t.co/rLCnmfd9Or"
4,1182303829049499649,1239529938069278726,2020-03-16T12:32:21.000Z,@JerryDunleavy CCP needs to pay for it!! China is the culprit of #WuhanVirus https://t.co/e36zckS3Xg
5,1167612305653108736,1244827956070907905,2020-03-31T03:24:47.000Z,"@OzraeliAvi The Communist Party of China has silently invaded various areas of the world and unknowingly controlled other countries. Everyone still does not wake up, and must regret it! #ChinaLiedPeopleDied #BoycottChina Buy #AnywherebutChina Join together #ABC_challenge To #anticcp"
6,1149487703861280768,1241236957729918976,2020-03-21T05:35:26.000Z,"Bloody Epochtimes media are helping Communist China cleanse its image by renaming #ChineseVirus to CCP Virus. What do you call CCP members? Chinese, you birdbrains. #ChineseVirus #ChineseVirus #KungFlu #KungFlu #ChineseVirus #ChineseVirus #KungFlu #KungFlu #ChineseVirus https://t.co/6EAehAB750"
7,466419545,1242314597425700866,2020-03-24T04:57:35.000Z,"@johnsmith050310 @JohannKalhel24 @ChinaDaily It will be a better world if China just owns this #coronaVirus pandemic. China has lots of things to be proud of, but NOT eating dog, cat, rat, bat, snake, monkey, pangolin and other endangered animals! Stop killing Rhinos! Tiger penis doesn’t make you more virile! #chinaWuhanFlu"
8,75752415,1246529905304539136,2020-04-04T20:07:43.000Z,"How do we simply ignore the #BiologicalWarfare that #China has raged upon the world.
#CCPVirus
#EndCommunism 
#ChinaMustPay #China
#ChinaLiedPeopleDied 
#ChineseVirus19 #WuhanVirus https://t.co/9Wh6uvoQXS"
9,1244582003229339648,1245653096811778049,2020-04-02T10:03:36.000Z,@RupertLowe10 Don’t trust China. Hold them accountable! #china #chinaliedpeopledied #wuhanvirus #chinavirus #CCPVirus https://t.co/QyCpmskfEf
10,154521314,1239821027091165186,2020-03-17T07:49:02.000Z,"Chinese eat bat in their soup, 
spread virus to the world, 
And market the mask making machine ""Made in China"" https://t.co/nntwp0TEIc"
11,1161097498225778688,1240410556818960396,2020-03-18T22:51:37.000Z,"@realDonaldTrump Mr. President, it's Chinese Communist Party's virus. CCP virus."
